method,metric,extreme,image_id,metric_value,D_WACV,NIQE,LR_content,PSNR,SSIM,LPIPS,DISTS,sr_path,hr_path,lr_path,saved_sr,saved_hr,saved_lr,case_dir
HAT,D_WACV,minimum,DSC_1326,2788.475830078125,2788.475830078125,6.0987032908269185,0.03633614629507065,22.143660335591456,0.6736710667610168,0.2805585563182831,0.18958336114883423,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1326_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1326_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_15.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/D_WACV/minimum/SR_DSC_1326_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/D_WACV/minimum/HR_DSC_1326_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/D_WACV/minimum/LR_dreal4_15.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/D_WACV/minimum
HAT,D_WACV,maximum,sony_189,2835.4716796875,2835.4716796875,17.647463278818606,0.02022157795727253,37.201275900563296,0.9847004612286886,0.03399094566702843,0.14419400691986084,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_189_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_189_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_87.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/D_WACV/maximum/SR_sony_189_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/D_WACV/maximum/HR_sony_189_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/D_WACV/maximum/LR_dreal4_87.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/D_WACV/maximum
HAT,NIQE,minimum,panasonic_43,3.5499947984870377,2799.37939453125,3.5499947984870377,0.03298819810152054,21.934017402379645,0.4362025260925293,0.3584229350090027,0.2328505516052246,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_43_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_43_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_71.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/NIQE/minimum/SR_panasonic_43_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/NIQE/minimum/HR_panasonic_43_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/NIQE/minimum/LR_dreal4_71.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/NIQE/minimum
HAT,NIQE,maximum,panasonic_187,53.90941222065564,2789.42529296875,53.90941222065564,0.06471144407987595,14.655363234639472,0.5643832286198934,0.2957301735877991,0.3021806478500366,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_187_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_187_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_65.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/NIQE/maximum/SR_panasonic_187_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/NIQE/maximum/HR_panasonic_187_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/NIQE/maximum/LR_dreal4_65.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/NIQE/maximum
HAT,LR_content,minimum,Canon_56,0.011278053745627403,2818.647216796875,16.040056647750013,0.011278053745627403,40.810684735991,0.9615029295285543,0.07333847135305405,0.20690089464187622,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_56_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_56_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_5.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/LR_content/minimum/SR_Canon_56_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/LR_content/minimum/HR_Canon_56_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/LR_content/minimum/LR_dreal4_5.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/LR_content/minimum
HAT,LR_content,maximum,DSC_1404,0.07722193747758865,2810.42333984375,14.117897494545979,0.07722193747758865,22.803122216284912,0.83409583568573,0.15705154836177826,0.19296330213546753,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/DSC_1404_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1404_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_16.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/LR_content/maximum/SR_DSC_1404_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/LR_content/maximum/HR_DSC_1404_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/LR_content/maximum/LR_dreal4_16.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/LR_content/maximum
HAT,PSNR,minimum,panasonic_187,14.655363234639472,2789.42529296875,53.90941222065564,0.06471144407987595,14.655363234639472,0.5643832286198934,0.2957301735877991,0.3021806478500366,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_187_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_187_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_65.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/PSNR/minimum/SR_panasonic_187_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/PSNR/minimum/HR_panasonic_187_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/PSNR/minimum/LR_dreal4_65.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/PSNR/minimum
HAT,PSNR,maximum,Canon_56,40.810684735991,2818.647216796875,16.040056647750013,0.011278053745627403,40.810684735991,0.9615029295285543,0.07333847135305405,0.20690089464187622,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/Canon_56_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/Canon_56_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_5.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/PSNR/maximum/SR_Canon_56_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/PSNR/maximum/HR_Canon_56_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/PSNR/maximum/LR_dreal4_5.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/PSNR/maximum
HAT,SSIM,minimum,panasonic_43,0.4362025260925293,2799.37939453125,3.5499947984870377,0.03298819810152054,21.934017402379645,0.4362025260925293,0.3584229350090027,0.2328505516052246,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_43_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_43_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_71.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/SSIM/minimum/SR_panasonic_43_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/SSIM/minimum/HR_panasonic_43_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/SSIM/minimum/LR_dreal4_71.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/SSIM/minimum
HAT,SSIM,maximum,P1160566,0.9880563815434774,2828.23388671875,21.759676124614025,0.03167787566781044,38.796437706070115,0.9880563815434774,0.06557569652795792,0.2354259490966797,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/P1160566_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/P1160566_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_50.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/SSIM/maximum/SR_P1160566_x1_DReal_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/SSIM/maximum/HR_P1160566_x4.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/SSIM/maximum/LR_dreal4_50.png,/home/projectwork/student_package/day2_tasks/sr_output_outliers/HAT/SSIM/maximum
